epoch,train_loss,val_loss,val_mae_m,val_medae_m,val_bias_m,lr
1,0.0009391541602975554,0.00039280211149404445,1.1142160892486572,0.8683233261108398,-0.551557719707489,0.0009993147673772868
2,0.0005226172943988568,0.0002263478848617524,0.7869768738746643,0.5031027793884277,0.1402253359556198,0.0009972609476841365
3,0.0004555275972806212,0.0002502918248064816,0.8896647095680237,0.7224588394165039,-0.3748994469642639,0.0009938441702975688
4,0.000402255656155877,0.0001770049649445961,0.7383872866630554,0.5049796104431152,0.012112711556255817,0.0009890738003669028
5,0.00037338998200173856,0.00015259909831608336,0.6630126237869263,0.395066499710083,0.28637000918388367,0.0009829629131445341
6,0.0003413264419842197,0.0001645033867486442,0.6899604201316833,0.4219207167625427,0.30295488238334656,0.0009755282581475769
7,0.0003230343983544964,0.00016566535122304534,0.7509651780128479,0.42314910888671875,0.3908495306968689,0.0009667902132486009
8,0.00031254920914707484,0.00013261170248733833,0.5973965525627136,0.3701286315917969,0.19926822185516357,0.0009567727288213005
9,0.0003033198311011522,0.00013367974176071583,0.5628631711006165,0.3795590400695801,0.0322493351995945,0.0009455032620941839
10,0.0002890689639361181,0.00016521957439060014,0.6997690200805664,0.4282357692718506,0.49150732159614563,0.0009330127018922195
11,0.00028551464147779206,0.00011271137938213846,0.5642542839050293,0.349884033203125,-0.15538598597049713,0.0009193352839727121
12,0.0002782449609628365,0.00011313725134823472,0.5274105072021484,0.3237345218658447,-0.010603777132928371,0.0009045084971874737
13,0.0002734144635856227,0.00011003229282020281,0.5329746603965759,0.3190593719482422,0.07143323123455048,0.0008885729807284855
14,0.0002676771870867994,0.00012333061324898154,0.6011795997619629,0.35471677780151367,0.2895105481147766,0.0008715724127386972
15,0.0002670293518963457,0.0001347623112378642,0.6766917109489441,0.3595600128173828,0.43596896529197693,0.0008535533905932739
16,0.0002599287730005856,0.0001024636896327138,0.4892656207084656,0.2975759506225586,0.06040577217936516,0.0008345653031794292
17,0.0002573319456381345,0.0001220314404539143,0.5142009854316711,0.31522607803344727,0.11409912258386612,0.0008146601955249188
18,0.00025365857004350185,0.0001103692162335695,0.5124152302742004,0.3194950819015503,0.023870419710874557,0.0007938926261462366
19,0.0002528355960857569,0.00010748973106577371,0.5184804201126099,0.30295753479003906,0.23567594587802887,0.0007723195175075136
20,0.0002477405606542662,9.813510876847431e-05,0.47032445669174194,0.2889670729637146,0.06958984583616257,0.00075
21,0.0002482908009066402,0.00010049606452230365,0.49087947607040405,0.31151390075683594,0.07824446260929108,0.0007269952498697733
22,0.0002471923063651949,0.00010703265018916378,0.5035722851753235,0.3265352249145508,0.06421522796154022,0.0007033683215379002
23,0.00024698360659043765,9.308206922529886e-05,0.48046717047691345,0.3044193983078003,-0.0933576226234436,0.0006791839747726503
24,0.00023994746665359856,0.00010658653930295258,0.47322583198547363,0.30047082901000977,-0.02223226986825466,0.0006545084971874737
25,0.00023882278090349844,9.464691606505464e-05,0.47607243061065674,0.28464221954345703,0.12983831763267517,0.0006294095225512603
26,0.0002381314928857331,0.00013077609031461178,0.6688448786735535,0.38795948028564453,0.5722076296806335,0.0006039558454088795
27,0.00023428586331662786,9.467398864217102e-05,0.5062083601951599,0.3136199712753296,0.08926662057638168,0.0005782172325201154
28,0.0002340324779061509,9.671049435079718e-05,0.47260668873786926,0.2778921127319336,0.22987739741802216,0.0005522642316338267
29,0.00023384168087385403,0.00010482061047029372,0.528830885887146,0.3008384704589844,0.2920824885368347,0.0005261679781214719
30,0.00023116248413650756,8.897389027212436e-05,0.46337631344795227,0.2835042476654053,-0.038711678236722946,0.0005000000000000001
31,0.00023115475085075412,8.357943565351888e-05,0.44911596179008484,0.2740340232849121,-0.02479238063097,0.00047383202187852816
32,0.00022634311813490992,9.4755515223369e-05,0.45225170254707336,0.2701988220214844,0.14331719279289246,0.00044773576836617336
33,0.00022749911407187866,9.406323965716487e-05,0.4986600875854492,0.2840094566345215,0.2883985638618469,0.0004217827674798846
34,0.00022142645594480837,8.509919536300003e-05,0.44718387722969055,0.25797152519226074,0.14253072440624237,0.00039604415459112036
35,0.0002241303345027308,8.5734212383007e-05,0.4556716978549957,0.26531076431274414,0.1406676173210144,0.00037059047744873974
36,0.00022202454252132715,8.59750984236598e-05,0.441223680973053,0.27314281463623047,0.06857121735811234,0.0003454915028125264
37,0.00021979434105505943,9.654465494289373e-05,0.5039476752281189,0.2964751720428467,0.2319147139787674,0.0003208160252273499
38,0.00021829014502487614,8.490192589427655e-05,0.4617276191711426,0.261260986328125,0.20523422956466675,0.0002966316784621
39,0.00021691318702362638,8.159185070932533e-05,0.44944503903388977,0.27297937870025635,0.046748653054237366,0.0002730047501302267
40,0.00021616366289408767,8.639074879465625e-05,0.44269120693206787,0.2598995268344879,0.129505917429924,0.00025000000000000017
41,0.00021316107250819716,8.338666106768263e-05,0.43873515725135803,0.2523857355117798,0.14437903463840485,0.00022768048249248665
42,0.00021129041444634597,9.522714151535183e-05,0.5253734588623047,0.28025102615356445,0.3371388614177704,0.00020610737385376354
43,0.00021288168811115922,8.171451473996664e-05,0.4402651786804199,0.25095319747924805,0.16901157796382904,0.0001853398044750814
44,0.0002099472990383406,7.950768371423086e-05,0.42313480377197266,0.259030818939209,-0.0018547925865277648,0.0001654346968205711
45,0.00020991781919012562,8.081549363366017e-05,0.42820629477500916,0.2504110336303711,0.10404811799526215,0.0001464466094067263
46,0.00021055434247415163,8.473776077153161e-05,0.4577154815196991,0.26490604877471924,0.1823594570159912,0.00012842758726130298
47,0.00020704783533941596,8.2469638728071e-05,0.4466824531555176,0.2567322254180908,0.17538458108901978,0.00011142701927151459
48,0.00020583020423690224,8.263172125831867e-05,0.44704383611679077,0.26410138607025146,0.1339312493801117,9.549150281252635e-05
49,0.00020616878675790425,8.02705528428002e-05,0.42405933141708374,0.25056958198547363,0.09422238171100616,8.066471602728805e-05
50,0.00020645081033755062,8.19879429473076e-05,0.44966381788253784,0.2584129571914673,0.16605542600154877,6.698729810778066e-05
51,0.00020363974541925197,8.361735419991116e-05,0.45673221349716187,0.2550339698791504,0.21509456634521484,5.449673790581612e-05
52,0.0002048597804795051,7.858751747213925e-05,0.4278714954853058,0.24602937698364258,0.135306715965271,4.322727117869952e-05
53,0.00020192602133670918,8.11370357114356e-05,0.4467797577381134,0.2569150924682617,0.17491482198238373,3.3209786751399136e-05
54,0.00020017388333844094,7.893911943150063e-05,0.4359363317489624,0.25339603424072266,0.14108632504940033,2.4471741852423238e-05
